0,1,2,3,4,5,6,7
,  Kamembe,34883,19621,15262,100,56.2,43.8
,  Muganza,32849,15608,17241,100,47.5,52.5
,  Mururu,29774,14488,15286,100,48.7,51.3
,  Nkanka,19857,9359,10498,100,47.1,52.9
,  Nkombo,18637,9028,9609,100,48.4,51.6
,  Nkungu,21696,10221,11475,100,47.1,52.9
,  Nyakabuye,33200,15739,17461,100,47.4,52.6
,  Nyakarenzo,18384,8842,9542,100,48.1,51.9
,  Nzahaha,30399,14631,15768,100,48.1,51.9
,  Rwimbogo,23254,11135,12119,100,47.9,52.1
,Nyamasheke,434221,204858,229363,100,47.2,52.8
,  Bushekeri,29680,14067,15613,100,47.4,52.6
,  Bushenge,22624,10571,12053,100,46.7,53.3
,  Cyato,26996,12548,14448,100,46.5,53.5
,  Gihombo,29843,14099,15744,100,47.2,52.8
,  Kagano,39994,19047,20947,100,47.6,52.4
,  Kanjongo,40341,19241,21100,100,47.7,52.3
,  Karambi,29726,14082,15644,100,47.4,52.6
,  Karengera,32504,15399,17105,100,47.4,52.6
,  Kirimbi,25647,12092,13555,100,47.1,52.9
,  Macuba,33319,15818,17501,100,47.5,52.5
,  Mahembe,20043,9519,10524,100,47.5,52.5
,  Nyabitekeri,29293,13663,15630,100,46.6,53.4
,  Rangiro,17967,8354,9613,100,46.5,53.5
,  Ruharambuga,28180,13244,14936,100,47,53
,  Shangi,28064,13114,14950,100,46.7,53.3
