0,1,2
,,Table 73: Distribution (%) of the private households by main mode of sewage disposal by Province and District
,,Table 74: Proportion of households that have access to electricity by sex of the household head and residence
,,"Table 75: Distribution of private households by main source of energy for lighting, Province and District"
,,"Table 76: % of the private households by main source of energy for cooking, Province and District"
,,"Table 77: Percentage of private households[1], which have and used energy saving stove by District"
,,Table 78: Percentage of private households possessing specific assets by Province and District
,,"Table 79: Number and Percentage of private agricultural households by Province, District and residence"
,,Table 80: Number and Percentage of private agricultural households by district and sex of hosehold head
,,Table 81: Percentage of private households practicing different types of agricultural activities by district 
,,Table 82: Percentage of households cultivating different types of crops by Province and District
,,Table 83: Number of private crop farming households cultivating different types of crops by district
,,Table 84: Percentage of crop farming households producing different types of vegetables by district
,,Table 85: % of private households rearing different types of livestock by District (urban and rural)
,,Table 86: Percentage of private households rearing different types of livestock by District (Urban) 
,,Table 87: Percentage of private households rearing different types of livestock by District (Rural) 
,,Table 88: Number of private households rearing different types of livestock by District
,,Table 89: Different types of livestock owned by the private households by District (Urban + Rural)
,,Table 90: Livestock owned by the private households by livestock type and District (Urban)
,,Table 91: Livestock owned by the private households by livestock type and District (Rural)
,,"Table 92: Evolution of the Rwanda’s population (in millions) by area of residence, 2022-2052"
,,"Table 93: Evolution of the population density by residence (medium projection), 2022-2052"
,,"Table 94: Changes in key fertility indicators by projection scenario, 2022-2052"
,,"Table 95: Evolution of key mortality indicators by projection scenario, 2022-2052"
,,Table 96: City of Kigali population distribution by district and sector
,,Table 97: Southern Province population distribution by district and sector
,,Table 98: Western Province population distribution by district and sector
,,Table 99: Northern Province population distribution by district and sector
,,Table 100: Eastern Province population distribution by district and sector
