year,quarter,sex,sector,value
2025,Q3,All,Mining and quarrying,1.889446243195216
2025,Q4,All,Mining and quarrying,1.7019578948237413
2019,Q1,All,Manufacturing,6.374441247211227
2019,Q2,All,Manufacturing,5.922924687263511
2019,Q3,All,Manufacturing,7.134931452753205
2019,Q4,All,Manufacturing,6.185878075149849
2020,Q1,All,Manufacturing,5.46384639867518
2020,Q2,All,Manufacturing,5.143477234415005
2020,Q3,All,Manufacturing,8.124452370437538
2020,Q4,All,Manufacturing,4.363481569535805
2021,Q1,All,Manufacturing,4.4693157215349615
2021,Q2,All,Manufacturing,4.74658657707333
2021,Q3,All,Manufacturing,5.572346014649159
2021,Q4,All,Manufacturing,4.480613022911652
2022,Q1,All,Manufacturing,4.419537794846972
2022,Q2,All,Manufacturing,5.379910349054553
2022,Q3,All,Manufacturing,6.466606575206802
2022,Q4,All,Manufacturing,4.82350597617151
2023,Q1,All,Manufacturing,5.131271128753566
2023,Q2,All,Manufacturing,5.508848857173163
2023,Q3,All,Manufacturing,6.206729861064586
2023,Q4,All,Manufacturing,5.152909953760614
2024,Q1,All,Manufacturing,4.607662248506097
2024,Q2,All,Manufacturing,5.561710953098715
2024,Q3,All,Manufacturing,6.888754587264258
2024,Q4,All,Manufacturing,5.6392727515991075
2025,Q1,All,Manufacturing,4.907475972954968
2025,Q2,All,Manufacturing,5.742799823201701
2025,Q3,All,Manufacturing,6.444213979943974
2025,Q4,All,Manufacturing,5.266067191677018
2019,Q1,All,Electricity gas stream and air conditioning supply,0.15702486301793905
2019,Q2,All,Electricity gas stream and air conditioning supply,0.3150099888615765
2019,Q3,All,Electricity gas stream and air conditioning supply,0.23446581054658555
2019,Q4,All,Electricity gas stream and air conditioning supply,0.37661421876601614
2020,Q1,All,Electricity gas stream and air conditioning supply,0.2660818051665095
2020,Q2,All,Electricity gas stream and air conditioning supply,0.20526934645221265
2020,Q3,All,Electricity gas stream and air conditioning supply,0.20747635825284372
2020,Q4,All,Electricity gas stream and air conditioning supply,0.1382123169627145
2021,Q1,All,Electricity gas stream and air conditioning supply,0.21112127331586716
2021,Q2,All,Electricity gas stream and air conditioning supply,0.19066070654021675
2021,Q3,All,Electricity gas stream and air conditioning supply,0.2578525806029081
2021,Q4,All,Electricity gas stream and air conditioning supply,0.198785490799477
2022,Q1,All,Electricity gas stream and air conditioning supply,0.12043464445211237
2022,Q2,All,Electricity gas stream and air conditioning supply,0.14119727840174875
2022,Q3,All,Electricity gas stream and air conditioning supply,0.04327330847676771
2022,Q4,All,Electricity gas stream and air conditioning supply,0.13030564676159653
2023,Q1,All,Electricity gas stream and air conditioning supply,0.17604235696951517
2023,Q2,All,Electricity gas stream and air conditioning supply,0.18369938231430716
2023,Q3,All,Electricity gas stream and air conditioning supply,0.054619482342031
2023,Q4,All,Electricity gas stream and air conditioning supply,0.13065639244622199
2024,Q1,All,Electricity gas stream and air conditioning supply,0.17765172915354713
2024,Q2,All,Electricity gas stream and air conditioning supply,0.04182611604629254
2024,Q3,All,Electricity gas stream and air conditioning supply,0.07147902854079115
2024,Q4,All,Electricity gas stream and air conditioning supply,0.15109819858188694
2025,Q1,All,Electricity gas stream and air conditioning supply,0.0976491197069087
2025,Q2,All,Electricity gas stream and air conditioning supply,0.061760875085378426
2025,Q3,All,Electricity gas stream and air conditioning supply,0.025305219416713286
2025,Q4,All,Electricity gas stream and air conditioning supply,0.09481903918248791
2019,Q1,All,"water supply, gas and remediation services",0.236142984330755
2019,Q2,All,"water supply, gas and remediation services",0.27483072451373813
2019,Q3,All,"water supply, gas and remediation services",0.20941706401324456
2019,Q4,All,"water supply, gas and remediation services",0.20040123067292936
2020,Q1,All,"water supply, gas and remediation services",0.2596376036390891
2020,Q2,All,"water supply, gas and remediation services",0.22403472542612918
2020,Q3,All,"water supply, gas and remediation services",0.20919352810764738
2020,Q4,All,"water supply, gas and remediation services",0.1197547593525324
2021,Q1,All,"water supply, gas and remediation services",0.06952101742033495
2021,Q2,All,"water supply, gas and remediation services",0.21178834102849367
2021,Q3,All,"water supply, gas and remediation services",0.23108883079645354
2021,Q4,All,"water supply, gas and remediation services",0.1804215884573467
2022,Q1,All,"water supply, gas and remediation services",0.1447828251247145
2022,Q2,All,"water supply, gas and remediation services",0.2648366920090448
2022,Q3,All,"water supply, gas and remediation services",0.11726567540910507
2022,Q4,All,"water supply, gas and remediation services",0.15587937986303704
2023,Q1,All,"water supply, gas and remediation services",0.13878628810455637
2023,Q2,All,"water supply, gas and remediation services",0.049304011561188146
2023,Q3,All,"water supply, gas and remediation services",0.03561034578971236
2023,Q4,All,"water supply, gas and remediation services",0.05187638946988592
2024,Q1,All,"water supply, gas and remediation services",0.10107385309236713
2024,Q2,All,"water supply, gas and remediation services",0.08344308965113398
2024,Q3,All,"water supply, gas and remediation services",0.14033826403357197
2024,Q4,All,"water supply, gas and remediation services",0.17730827515237074
2025,Q1,All,"water supply, gas and remediation services",0.200551963085615
2025,Q2,All,"water supply, gas and remediation services",0.1669390848080356
2025,Q3,All,"water supply, gas and remediation services",0.21378852798716236
2025,Q4,All,"water supply, gas and remediation services",0.26838534480967674
2019,Q1,All,Construction,9.14686908570257
2019,Q2,All,Construction,9.076589447258824
2019,Q3,All,Construction,11.47302542747922
2019,Q4,All,Construction,8.913446402919638
2020,Q1,All,Construction,8.68283939038968
2020,Q2,All,Construction,12.594453962029007
2020,Q3,All,Construction,15.712638550107119
2020,Q4,All,Construction,13.316766615908247
2021,Q1,All,Construction,8.754190909618558
2021,Q2,All,Construction,10.847709216822848
2021,Q3,All,Construction,13.570398384160857
2021,Q4,All,Construction,11.258243338563494
2022,Q1,All,Construction,9.165919185967002
2022,Q2,All,Construction,9.713917731740304
2022,Q3,All,Construction,12.528862364413868
2022,Q4,All,Construction,9.79849865216767
2023,Q1,All,Construction,8.076599299741137
2023,Q2,All,Construction,9.522173775358626
2023,Q3,All,Construction,13.958113283910315
2023,Q4,All,Construction,7.47006318722897
2024,Q1,All,Construction,7.398908982173939
2024,Q2,All,Construction,8.844265872529625
2024,Q3,All,Construction,13.129374793707719
2024,Q4,All,Construction,8.70821234181057
2025,Q1,All,Construction,7.638080481706868
2025,Q2,All,Construction,8.253553264004134
2025,Q3,All,Construction,11.332937045836555
2025,Q4,All,Construction,8.116146778382527
2019,Q1,All,Trade & Retail,14.411457155331817
2019,Q2,All,Trade & Retail,14.368449558097701
2019,Q3,All,Trade & Retail,14.712319085166328
2019,Q4,All,Trade & Retail,15.676404235760804
2020,Q1,All,Trade & Retail,11.849899202804611
2020,Q2,All,Trade & Retail,13.625402384761703
2020,Q3,All,Trade & Retail,16.595446044479417
2020,Q4,All,Trade & Retail,11.581024442167339
2021,Q1,All,Trade & Retail,10.48918697912172
2021,Q2,All,Trade & Retail,9.618463223448595
2021,Q3,All,Trade & Retail,12.16630136190819
2021,Q4,All,Trade & Retail,10.444882500784425
2022,Q1,All,Trade & Retail,10.046216975518924
2022,Q2,All,Trade & Retail,11.714416702103755
2022,Q3,All,Trade & Retail,9.806134928813055
2022,Q4,All,Trade & Retail,10.553209741051834
2023,Q1,All,Trade & Retail,12.953042605835385
2023,Q2,All,Trade & Retail,13.431745654845056
2023,Q3,All,Trade & Retail,13.709503717790408
2023,Q4,All,Trade & Retail,12.057812671365644
2024,Q1,All,Trade & Retail,11.58026337432434
2024,Q2,All,Trade & Retail,13.868296237172068
2024,Q3,All,Trade & Retail,15.143024704460176
2024,Q4,All,Trade & Retail,14.461608146263893
2025,Q1,All,Trade & Retail,13.500539679782761
2025,Q2,All,Trade & Retail,15.592244023680498
2025,Q3,All,Trade & Retail,15.616483395289011
2025,Q4,All,Trade & Retail,15.148826192683472
2019,Q1,All,Transport & Storage,4.8908501665557305
2019,Q2,All,Transport & Storage,5.3463081908587045
2019,Q3,All,Transport & Storage,4.761506410921877
2019,Q4,All,Transport & Storage,5.845990360773936
2020,Q1,All,Transport & Storage,4.383795206133884
2020,Q2,All,Transport & Storage,3.7942026070337214
2020,Q3,All,Transport & Storage,4.094527837157434
2020,Q4,All,Transport & Storage,4.608009555049384
2021,Q1,All,Transport & Storage,4.107987818300965
2021,Q2,All,Transport & Storage,5.244141894749073
2021,Q3,All,Transport & Storage,4.670072621928538
2021,Q4,All,Transport & Storage,5.030839147376779
2022,Q1,All,Transport & Storage,4.650185888078841
2022,Q2,All,Transport & Storage,6.419425409422896
2022,Q3,All,Transport & Storage,5.425868488948455
2022,Q4,All,Transport & Storage,5.893940239289038
2023,Q1,All,Transport & Storage,5.351959945637601
2023,Q2,All,Transport & Storage,6.394706594089689
2023,Q3,All,Transport & Storage,6.7019354550151915
2023,Q4,All,Transport & Storage,4.941817199997767
2024,Q1,All,Transport & Storage,6.243771655272081
2024,Q2,All,Transport & Storage,6.764359094717594
2024,Q3,All,Transport & Storage,7.229198124162389
2024,Q4,All,Transport & Storage,6.750957988403533
2025,Q1,All,Transport & Storage,6.533899438927258
2025,Q2,All,Transport & Storage,6.716944879131488
2025,Q3,All,Transport & Storage,6.958131596153221
2025,Q4,All,Transport & Storage,7.588092600127238
2019,Q1,All,Accommodation & Food,2.3602070342424097
2019,Q2,All,Accommodation & Food,3.2148068139950325
2019,Q3,All,Accommodation & Food,3.059636152209017
2019,Q4,All,Accommodation & Food,3.1478187002571087
2020,Q1,All,Accommodation & Food,3.2761082718980887
2020,Q2,All,Accommodation & Food,1.5579931515718686
2020,Q3,All,Accommodation & Food,3.34868863151516
2020,Q4,All,Accommodation & Food,2.2419265821102647
2021,Q1,All,Accommodation & Food,1.6555918865189465
2021,Q2,All,Accommodation & Food,1.8378805207469353
2021,Q3,All,Accommodation & Food,1.1083112173651428
2021,Q4,All,Accommodation & Food,1.9734362122927631
2022,Q1,All,Accommodation & Food,1.6504927755105616
2022,Q2,All,Accommodation & Food,2.046435019625835
2022,Q3,All,Accommodation & Food,1.9660256129478817
2022,Q4,All,Accommodation & Food,2.633399764720419
2023,Q1,All,Accommodation & Food,2.9059364642607037
2023,Q2,All,Accommodation & Food,2.9084401709709327
2023,Q3,All,Accommodation & Food,3.031586988085689
2023,Q4,All,Accommodation & Food,3.480086873612399
2024,Q1,All,Accommodation & Food,3.1013390294548873
2024,Q2,All,Accommodation & Food,3.9196534342112725
2024,Q3,All,Accommodation & Food,3.786175198163723
2024,Q4,All,Accommodation & Food,2.994591281138231
2025,Q1,All,Accommodation & Food,3.54283811238678
2025,Q2,All,Accommodation & Food,3.954852688665309
2025,Q3,All,Accommodation & Food,4.099823961181334
2025,Q4,All,Accommodation & Food,3.993094569259952
2019,Q1,All,ICT,0.21761585732301358
2019,Q2,All,ICT,0.3809179839492112
2019,Q3,All,ICT,0.27815270711467727
2019,Q4,All,ICT,0.5053697537034457
2020,Q1,All,ICT,0.1955674225133743
2020,Q2,All,ICT,0.22717403486602183
2020,Q3,All,ICT,0.36103430348255916
2020,Q4,All,ICT,0.3758931047289117
2021,Q1,All,ICT,0.37254501621203656
2021,Q2,All,ICT,0.46260375401924586
2021,Q3,All,ICT,0.3644526936658216
2021,Q4,All,ICT,0.2774788432251434
2022,Q1,All,ICT,0.27623674806205506
2022,Q2,All,ICT,0.23939227064021346
2022,Q3,All,ICT,0.2907282984206473
2022,Q4,All,ICT,0.11970209187517537
2023,Q1,All,ICT,0.41248479737929516
2023,Q2,All,ICT,0.2342103947758117
2023,Q3,All,ICT,0.3014448670130637
2023,Q4,All,ICT,0.19926180905265417
2024,Q1,All,ICT,0.2871163850637871
2024,Q2,All,ICT,0.12213221158045061
2024,Q3,All,ICT,0.2922759412458299
2024,Q4,All,ICT,0.36856194746829596
2025,Q1,All,ICT,0.3669980040315142
2025,Q2,All,ICT,0.2579004997074382
2025,Q3,All,ICT,0.3829228707014107
2025,Q4,All,ICT,0.45135928981513557
2019,Q1,All,Finance & Insurance,1.1560739367759922
2019,Q2,All,Finance & Insurance,0.960371005793308
2019,Q3,All,Finance & Insurance,1.1215142616144378
2019,Q4,All,Finance & Insurance,1.011124982567982
2020,Q1,All,Finance & Insurance,1.146336228378136
2020,Q2,All,Finance & Insurance,0.8927411083758061
2020,Q3,All,Finance & Insurance,1.0476451215806042
2020,Q4,All,Finance & Insurance,1.0197209862284438
2021,Q1,All,Finance & Insurance,1.050279148351608
2021,Q2,All,Finance & Insurance,1.3222840221880154
2021,Q3,All,Finance & Insurance,0.8991329774527314
2021,Q4,All,Finance & Insurance,0.934443139483068
2022,Q1,All,Finance & Insurance,0.8286904475325537
2022,Q2,All,Finance & Insurance,0.8304804984431513
2022,Q3,All,Finance & Insurance,0.6757060931327514
2022,Q4,All,Finance & Insurance,0.7217465513113116
2023,Q1,All,Finance & Insurance,0.7651796114330234
2023,Q2,All,Finance & Insurance,0.8957410665644557
2023,Q3,All,Finance & Insurance,0.9626558742925386
2023,Q4,All,Finance & Insurance,1.0813883081240874
2024,Q1,All,Finance & Insurance,0.8658055511775448
2024,Q2,All,Finance & Insurance,0.8259557300052336
2024,Q3,All,Finance & Insurance,0.8548740207923514
2024,Q4,All,Finance & Insurance,0.8182201050459127
2025,Q1,All,Finance & Insurance,0.8832784846190138
2025,Q2,All,Finance & Insurance,0.8863594887440155
2025,Q3,All,Finance & Insurance,0.7712613409956752
2025,Q4,All,Finance & Insurance,0.9609524671713754
2019,Q1,All,Real estate activities,0.07526929801184386
2019,Q2,All,Real estate activities,0.19497624619369555
2019,Q3,All,Real estate activities,0.10838840933759654
2019,Q4,All,Real estate activities,0.14086550823826982
2020,Q1,All,Real estate activities,0.06019835498877291
2020,Q2,All,Real estate activities,0.07511203663065935
2020,Q3,All,Real estate activities,0.3021285894105808
2020,Q4,All,Real estate activities,0.03488721965618556
2021,Q1,All,Real estate activities,0.06013662241514686
2021,Q2,All,Real estate activities,0.11127132499548734
2021,Q3,All,Real estate activities,0.11979565105397576
2021,Q4,All,Real estate activities,0.04536623063830342
2022,Q1,All,Real estate activities,0.04104688023825133
2022,Q2,All,Real estate activities,0.0927206354306863
2022,Q3,All,Real estate activities,0.13781723107511307
2022,Q4,All,Real estate activities,0.13872465005622936
2023,Q1,All,Real estate activities,0.15281503993145937
2023,Q2,All,Real estate activities,0.1460214254912796
2023,Q3,All,Real estate activities,0.07546824079648357
2023,Q4,All,Real estate activities,0.12954211223080783
2024,Q1,All,Real estate activities,0.11081427235739359
2024,Q2,All,Real estate activities,0.09865993767019285
2024,Q3,All,Real estate activities,0.16866160205602834
2024,Q4,All,Real estate activities,0.19672179630948256
2025,Q1,All,Real estate activities,0.16819861628422722
2025,Q2,All,Real estate activities,0.23809667292509243
2025,Q3,All,Real estate activities,0.20246652185140065
2025,Q4,All,Real estate activities,0.2093529675907026
2019,Q1,All,Professional Services,0.6276831135419024
2019,Q2,All,Professional Services,0.9482400369603526
2019,Q3,All,Professional Services,0.8021246177015235
2019,Q4,All,Professional Services,0.8804597101600509
2020,Q1,All,Professional Services,0.7059359919408433
2020,Q2,All,Professional Services,0.37377988959322356
2020,Q3,All,Professional Services,0.674535877514355
2020,Q4,All,Professional Services,0.6693607285969679
2021,Q1,All,Professional Services,0.45812132859366483
2021,Q2,All,Professional Services,0.6352003555077533
2021,Q3,All,Professional Services,0.48828837450334456
2021,Q4,All,Professional Services,0.555019564625642
2022,Q1,All,Professional Services,0.7002535126897244
2022,Q2,All,Professional Services,0.668073106264343
2022,Q3,All,Professional Services,0.8212275107315363
2022,Q4,All,Professional Services,0.7594268623911168
2023,Q1,All,Professional Services,0.8452747677111097
2023,Q2,All,Professional Services,0.5012176448337872
2023,Q3,All,Professional Services,0.4218893720525027
2023,Q4,All,Professional Services,0.7879367100277124
2024,Q1,All,Professional Services,0.4719240765456516
2024,Q2,All,Professional Services,0.6698960402303229
2024,Q3,All,Professional Services,0.7817266801676459
2024,Q4,All,Professional Services,0.6625586644380033
2025,Q1,All,Professional Services,0.6740488498797081
2025,Q2,All,Professional Services,0.662402513304889
2025,Q3,All,Professional Services,0.882381588543821
2025,Q4,All,Professional Services,0.7596870732344047
2019,Q1,All,Administrative and support activities,1.712092911455299
2019,Q2,All,Administrative and support activities,2.0215346275942814
2019,Q3,All,Administrative and support activities,1.3931597696882398
2019,Q4,All,Administrative and support activities,2.1686364894850416
2020,Q1,All,Administrative and support activities,2.0359373009753337
2020,Q2,All,Administrative and support activities,1.6962092240644853
2020,Q3,All,Administrative and support activities,2.0914916255031755
2020,Q4,All,Administrative and support activities,2.148649911855688
2021,Q1,All,Administrative and support activities,1.7600814530708158
2021,Q2,All,Administrative and support activities,1.7871438654990472
2021,Q3,All,Administrative and support activities,1.6066964394401493
2021,Q4,All,Administrative and support activities,1.303650719252164
2022,Q1,All,Administrative and support activities,1.1627377414664257
2022,Q2,All,Administrative and support activities,2.0628414864722155
2022,Q3,All,Administrative and support activities,1.5418031705459534
2022,Q4,All,Administrative and support activities,1.921467370253933
2023,Q1,All,Administrative and support activities,2.6641759641771254
2023,Q2,All,Administrative and support activities,1.8176692756750303
2023,Q3,All,Administrative and support activities,1.667953019103166
2023,Q4,All,Administrative and support activities,1.7220352184692989
2024,Q1,All,Administrative and support activities,1.741467350000572
2024,Q2,All,Administrative and support activities,2.080987828016992
2024,Q3,All,Administrative and support activities,2.1515228879187376
2024,Q4,All,Administrative and support activities,2.4773544147873925
2025,Q1,All,Administrative and support activities,2.189124673191691
2025,Q2,All,Administrative and support activities,2.341512173970737
2025,Q3,All,Administrative and support activities,1.9546833372545165
2025,Q4,All,Administrative and support activities,2.2411700440660547
2019,Q1,All,Public Admin.,1.786168343230263
2019,Q2,All,Public Admin.,2.16815433029115
2019,Q3,All,Public Admin.,2.0716187232273144
2019,Q4,All,Public Admin.,2.189538546781602
2020,Q1,All,Public Admin.,1.9481999013857658
2020,Q2,All,Public Admin.,2.2277916229389896
2020,Q3,All,Public Admin.,1.765254339927404
2020,Q4,All,Public Admin.,1.6389839412071692
2021,Q1,All,Public Admin.,1.9067449011647748
2021,Q2,All,Public Admin.,2.4224046848525638
2021,Q3,All,Public Admin.,1.7722264454195735
2021,Q4,All,Public Admin.,2.1082425554080553
2022,Q1,All,Public Admin.,1.6501395702511703
2022,Q2,All,Public Admin.,1.8265711264310287
2022,Q3,All,Public Admin.,1.8033048447566031
2022,Q4,All,Public Admin.,1.5590170897692877
2023,Q1,All,Public Admin.,1.0167302673067147
2023,Q2,All,Public Admin.,1.5051521742105434
2023,Q3,All,Public Admin.,1.5368388610523498
2023,Q4,All,Public Admin.,1.5872682880494007
2024,Q1,All,Public Admin.,2.3035597118778983
2024,Q2,All,Public Admin.,1.7203001907805164
2024,Q3,All,Public Admin.,1.7253175631101811
2024,Q4,All,Public Admin.,1.8299347724178703
2025,Q1,All,Public Admin.,1.7987187939016023
2025,Q2,All,Public Admin.,1.6069855034533465
2025,Q3,All,Public Admin.,1.7058102167313447
2025,Q4,All,Public Admin.,1.7586904523891622
2019,Q1,All,Education,3.424587813334877
2019,Q2,All,Education,3.5357965921778893
2019,Q3,All,Education,3.728916245491414
2019,Q4,All,Education,3.6334837781179097
2020,Q1,All,Education,3.55959593195124
2020,Q2,All,Education,3.17673433276595
2020,Q3,All,Education,2.5184172842635832
2020,Q4,All,Education,3.21217241491802
2021,Q1,All,Education,3.0281619285181662
2021,Q2,All,Education,4.397779087834358
2021,Q3,All,Education,3.297309490028155
2021,Q4,All,Education,4.339891343380351
2022,Q1,All,Education,3.7463096775582696
2022,Q2,All,Education,4.276264755874019
2022,Q3,All,Education,3.252840700667269
2022,Q4,All,Education,5.01435302501666
2023,Q1,All,Education,3.8029187288057056
2023,Q2,All,Education,4.063120280347988
2023,Q3,All,Education,4.119926971674408
2023,Q4,All,Education,4.657581344857673
2024,Q1,All,Education,4.598650435461655
2024,Q2,All,Education,4.889061020903029
2024,Q3,All,Education,4.124807514172259
2024,Q4,All,Education,4.171438472735636
2025,Q1,All,Education,4.24514748557
2025,Q2,All,Education,4.24948612148744
2025,Q3,All,Education,4.002177243421927
2025,Q4,All,Education,4.480060518628752
2019,Q1,All,Health & Social Work,1.4295403658759394
2019,Q2,All,Health & Social Work,1.4012188294060668
2019,Q3,All,Health & Social Work,1.4046550373359636
2019,Q4,All,Health & Social Work,1.222429014070831
2020,Q1,All,Health & Social Work,1.902413583792131
2020,Q2,All,Health & Social Work,1.8137187682828133
2020,Q3,All,Health & Social Work,1.2491257929676882
2020,Q4,All,Health & Social Work,1.563509590147611
2021,Q1,All,Health & Social Work,1.3298238959034423
2021,Q2,All,Health & Social Work,1.561293058416425
2021,Q3,All,Health & Social Work,1.3931984041131062
2021,Q4,All,Health & Social Work,1.6212925295567702
2022,Q1,All,Health & Social Work,1.2996227518483146
2022,Q2,All,Health & Social Work,1.4861874634432528
2022,Q3,All,Health & Social Work,1.2593404368442953
2022,Q4,All,Health & Social Work,1.432287085653274
2023,Q1,All,Health & Social Work,1.2235588304268534
2023,Q2,All,Health & Social Work,0.8145522224503923
2023,Q3,All,Health & Social Work,0.9530166194635915
2023,Q4,All,Health & Social Work,1.442230082491533
2024,Q1,All,Health & Social Work,1.276592021122113
2024,Q2,All,Health & Social Work,1.4307149406544135
2024,Q3,All,Health & Social Work,1.446581387879854
2024,Q4,All,Health & Social Work,1.1717653885108363
2025,Q1,All,Health & Social Work,1.026872641808598
2025,Q2,All,Health & Social Work,1.1514939538328217
2025,Q3,All,Health & Social Work,1.0241604427713815
2025,Q4,All,Health & Social Work,0.8892699271981837
2019,Q1,All,"Arts, entertainment and recreation",0.3260228827599015
2019,Q2,All,"Arts, entertainment and recreation",0.45530020156856355
2019,Q3,All,"Arts, entertainment and recreation",0.3285397224157591
2019,Q4,All,"Arts, entertainment and recreation",0.24887122772291964
2020,Q1,All,"Arts, entertainment and recreation",0.40849730542211005
2020,Q2,All,"Arts, entertainment and recreation",0.1271863219056118
2020,Q3,All,"Arts, entertainment and recreation",0.2370125784886203
2020,Q4,All,"Arts, entertainment and recreation",0.3380407891446365
2021,Q1,All,"Arts, entertainment and recreation",0.11474816839075676
2021,Q2,All,"Arts, entertainment and recreation",0.31038589156711777
2021,Q3,All,"Arts, entertainment and recreation",0.04894853292911421
2021,Q4,All,"Arts, entertainment and recreation",0.2685793750121082
2022,Q1,All,"Arts, entertainment and recreation",0.24686598423262174
2022,Q2,All,"Arts, entertainment and recreation",0.2602907793727331
2022,Q3,All,"Arts, entertainment and recreation",0.2053580979230417
2022,Q4,All,"Arts, entertainment and recreation",0.13938631125862655
2023,Q1,All,"Arts, entertainment and recreation",0.28485896302941704
2023,Q2,All,"Arts, entertainment and recreation",0.2047292003443295
2023,Q3,All,"Arts, entertainment and recreation",0.20948925826189657
2023,Q4,All,"Arts, entertainment and recreation",0.2575230663198922
2024,Q1,All,"Arts, entertainment and recreation",0.20106586721684597
2024,Q2,All,"Arts, entertainment and recreation",0.22526062801786592
2024,Q3,All,"Arts, entertainment and recreation",0.1353686626694868
2024,Q4,All,"Arts, entertainment and recreation",0.1777228083969319
2025,Q1,All,"Arts, entertainment and recreation",0.2666519572888811
2025,Q2,All,"Arts, entertainment and recreation",0.19612862641751067
2025,Q3,All,"Arts, entertainment and recreation",0.1458993116677038
2025,Q4,All,"Arts, entertainment and recreation",0.25830895637853846
2019,Q1,All,Other Services,2.4524907195612053
2019,Q2,All,Other Services,1.6876830785033274
2019,Q3,All,Other Services,2.3882978954182517
2019,Q4,All,Other Services,2.2267986893446463
2020,Q1,All,Other Services,2.717965462451773
2020,Q2,All,Other Services,3.071569566273746
2020,Q3,All,Other Services,2.3392294911372447
2020,Q4,All,Other Services,3.0446375353069075
2021,Q1,All,Other Services,2.777623132757318
2021,Q2,All,Other Services,2.2538925383429875
2021,Q3,All,Other Services,3.0289485042334143
2021,Q4,All,Other Services,2.7942944484913057
2022,Q1,All,Other Services,2.872607249012984
