year,quarter,sex,occupation,value
2023,Q4,All,Clerical_support_workers,0.9008592453308382
2024,Q1,All,Clerical_support_workers,1.061712225189221
2024,Q2,All,Clerical_support_workers,1.0557752174407016
2024,Q3,All,Clerical_support_workers,0.9208915995156877
2024,Q4,All,Clerical_support_workers,0.9113888588894928
2025,Q1,All,Clerical_support_workers,0.9340545783970908
2025,Q2,All,Clerical_support_workers,0.8948936232137689
2025,Q3,All,Clerical_support_workers,0.8862218554017541
2025,Q4,All,Clerical_support_workers,1.1345427899069847
2019,Q1,All,Service_and_sales_workers,18.918136250280824
2019,Q2,All,Service_and_sales_workers,19.490477025017768
2019,Q3,All,Service_and_sales_workers,19.413735134952447
2019,Q4,All,Service_and_sales_workers,21.129130473100414
2020,Q1,All,Service_and_sales_workers,17.516405205843135
2020,Q3,All,Service_and_sales_workers,20.50121753587813
2020,Q4,All,Service_and_sales_workers,15.65938968256329
2021,Q1,All,Service_and_sales_workers,14.537905980615818
2021,Q2,All,Service_and_sales_workers,13.33462282947144
2021,Q3,All,Service_and_sales_workers,15.033587161936135
2021,Q4,All,Service_and_sales_workers,14.008841526931851
2022,Q1,All,Service_and_sales_workers,14.146834348723427
2022,Q2,All,Service_and_sales_workers,14.349811423174765
2022,Q3,All,Service_and_sales_workers,12.628165532142082
2022,Q4,All,Service_and_sales_workers,14.365949480130697
2023,Q1,All,Service_and_sales_workers,17.74747425843421
2023,Q2,All,Service_and_sales_workers,17.97810859680516
2023,Q3,All,Service_and_sales_workers,18.14475162467056
2023,Q4,All,Service_and_sales_workers,17.59389670977655
2024,Q1,All,Service_and_sales_workers,16.03759105987309
2024,Q2,All,Service_and_sales_workers,19.538365381162134
2024,Q3,All,Service_and_sales_workers,19.94392607877315
2024,Q4,All,Service_and_sales_workers,18.488169883607302
2025,Q1,All,Service_and_sales_workers,18.928668350829778
2025,Q2,All,Service_and_sales_workers,20.94140101077676
2025,Q3,All,Service_and_sales_workers,21.282961088766395
2025,Q4,All,Service_and_sales_workers,20.3065385272516
2019,Q1,All,"Skilled_agricultural,_forestry_and_fishery workers",7.468508722557653
2019,Q2,All,"Skilled_agricultural,_forestry_and_fishery workers",7.221592278908756
2019,Q3,All,"Skilled_agricultural,_forestry_and_fishery workers",6.3332685606799375
2019,Q4,All,"Skilled_agricultural,_forestry_and_fishery workers",5.91412402191001
2020,Q1,All,"Skilled_agricultural,_forestry_and_fishery workers",7.47489989648111
2020,Q3,All,"Skilled_agricultural,_forestry_and_fishery workers",7.945110769836675
2020,Q4,All,"Skilled_agricultural,_forestry_and_fishery workers",4.403371997572995
2021,Q1,All,"Skilled_agricultural,_forestry_and_fishery workers",3.78813695133002
2021,Q2,All,"Skilled_agricultural,_forestry_and_fishery workers",3.7090279420152563
2021,Q3,All,"Skilled_agricultural,_forestry_and_fishery workers",6.418892708741246
2021,Q4,All,"Skilled_agricultural,_forestry_and_fishery workers",3.7883365158213547
2022,Q1,All,"Skilled_agricultural,_forestry_and_fishery workers",4.462518673987984
2022,Q2,All,"Skilled_agricultural,_forestry_and_fishery workers",4.61591586504473
2022,Q3,All,"Skilled_agricultural,_forestry_and_fishery workers",6.679185120556089
2022,Q4,All,"Skilled_agricultural,_forestry_and_fishery workers",4.85536956640114
2023,Q1,All,"Skilled_agricultural,_forestry_and_fishery workers",5.555902231495033
2023,Q2,All,"Skilled_agricultural,_forestry_and_fishery workers",5.8864082317117
2023,Q3,All,"Skilled_agricultural,_forestry_and_fishery workers",4.642859728577999
2023,Q4,All,"Skilled_agricultural,_forestry_and_fishery workers",6.567418409896711
2024,Q1,All,"Skilled_agricultural,_forestry_and_fishery workers",6.616533193279526
2024,Q2,All,"Skilled_agricultural,_forestry_and_fishery workers",7.196670919143762
2024,Q3,All,"Skilled_agricultural,_forestry_and_fishery workers",6.18320664469773
2024,Q4,All,"Skilled_agricultural,_forestry_and_fishery workers",8.154949587920592
2025,Q1,All,"Skilled_agricultural,_forestry_and_fishery workers",7.396754249175104
2025,Q2,All,"Skilled_agricultural,_forestry_and_fishery workers",8.547136711163507
2025,Q3,All,"Skilled_agricultural,_forestry_and_fishery workers",7.407159609381608
2025,Q4,All,"Skilled_agricultural,_forestry_and_fishery workers",6.712293518353782
2019,Q1,All,Craft_and_related_trades_workers,8.186231029883944
2019,Q2,All,Craft_and_related_trades_workers,8.433093710771752
2019,Q3,All,Craft_and_related_trades_workers,8.756654042704378
2019,Q4,All,Craft_and_related_trades_workers,7.876072800981625
2020,Q1,All,Craft_and_related_trades_workers,8.369749441417925
2020,Q3,All,Craft_and_related_trades_workers,11.53579683851685
2020,Q4,All,Craft_and_related_trades_workers,7.46376512831986
2021,Q1,All,Craft_and_related_trades_workers,6.800787963165002
2021,Q2,All,Craft_and_related_trades_workers,7.686432608122264
2021,Q3,All,Craft_and_related_trades_workers,8.70341506646676
2021,Q4,All,Craft_and_related_trades_workers,7.645423558712523
2022,Q1,All,Craft_and_related_trades_workers,7.077801184635692
2022,Q2,All,Craft_and_related_trades_workers,7.605981149555441
2022,Q3,All,Craft_and_related_trades_workers,10.02317395018744
2022,Q4,All,Craft_and_related_trades_workers,8.148658512474768
2023,Q1,All,Craft_and_related_trades_workers,7.48283070238135
2023,Q2,All,Craft_and_related_trades_workers,7.64047648988275
2023,Q3,All,Craft_and_related_trades_workers,9.213055187479958
2023,Q4,All,Craft_and_related_trades_workers,7.134147015682987
2024,Q1,All,Craft_and_related_trades_workers,7.31340367389336
2024,Q2,All,Craft_and_related_trades_workers,8.090291336473491
2024,Q3,All,Craft_and_related_trades_workers,10.086965886048214
2024,Q4,All,Craft_and_related_trades_workers,8.427713273814673
2025,Q1,All,Craft_and_related_trades_workers,7.671913610302869
2025,Q2,All,Craft_and_related_trades_workers,8.490011539163444
2025,Q3,All,Craft_and_related_trades_workers,9.214185297105923
2025,Q4,All,Craft_and_related_trades_workers,8.300061235113567
2019,Q1,All,Plant_and_machine_operators_and_assemblers,2.934521433218318
2019,Q2,All,Plant_and_machine_operators_and_assemblers,2.868354597471407
2019,Q3,All,Plant_and_machine_operators_and_assemblers,2.9453891635825102
2019,Q4,All,Plant_and_machine_operators_and_assemblers,3.1840486106771544
2020,Q1,All,Plant_and_machine_operators_and_assemblers,2.4556627076197253
2020,Q3,All,Plant_and_machine_operators_and_assemblers,2.7016372580171737
2020,Q4,All,Plant_and_machine_operators_and_assemblers,2.5522522142457573
2021,Q1,All,Plant_and_machine_operators_and_assemblers,2.41028293401128
2021,Q2,All,Plant_and_machine_operators_and_assemblers,2.5867795542110046
2021,Q3,All,Plant_and_machine_operators_and_assemblers,2.637505792642204
2021,Q4,All,Plant_and_machine_operators_and_assemblers,2.408270714236613
2022,Q1,All,Plant_and_machine_operators_and_assemblers,2.7622059837376023
2022,Q2,All,Plant_and_machine_operators_and_assemblers,3.049505654636133
2022,Q3,All,Plant_and_machine_operators_and_assemblers,2.1091521469810086
2022,Q4,All,Plant_and_machine_operators_and_assemblers,2.8899886467064917
2023,Q1,All,Plant_and_machine_operators_and_assemblers,2.784355314027714
2023,Q2,All,Plant_and_machine_operators_and_assemblers,2.70416783210016
2023,Q3,All,Plant_and_machine_operators_and_assemblers,2.7679557283302443
2023,Q4,All,Plant_and_machine_operators_and_assemblers,2.567776526063903
2024,Q1,All,Plant_and_machine_operators_and_assemblers,2.8231268873064503
2024,Q2,All,Plant_and_machine_operators_and_assemblers,3.4412566661055153
2024,Q3,All,Plant_and_machine_operators_and_assemblers,3.46623918383815
2024,Q4,All,Plant_and_machine_operators_and_assemblers,2.8919466141125376
2025,Q1,All,Plant_and_machine_operators_and_assemblers,2.991949188004181
2025,Q2,All,Plant_and_machine_operators_and_assemblers,3.340168101390638
2025,Q3,All,Plant_and_machine_operators_and_assemblers,3.3512192551040614
2025,Q4,All,Plant_and_machine_operators_and_assemblers,3.649996298496284
2019,Q1,All,Elementary_occupations,53.27253237345043
2019,Q2,All,Elementary_occupations,51.715247298552924
2019,Q3,All,Elementary_occupations,52.401667994197
2019,Q4,All,Elementary_occupations,52.23453438670076
2020,Q1,All,Elementary_occupations,53.91616615683964
2020,Q3,All,Elementary_occupations,48.99666565226999
2020,Q4,All,Elementary_occupations,60.23792454946238
2021,Q1,All,Elementary_occupations,64.19256788059405
2021,Q2,All,Elementary_occupations,61.62436774023172
2021,Q3,All,Elementary_occupations,58.477350533607094
2021,Q4,All,Elementary_occupations,62.04107801605508
2022,Q1,All,Elementary_occupations,63.0617633051637
2022,Q2,All,Elementary_occupations,60.08999147336278
2022,Q3,All,Elementary_occupations,59.42894573513783
2022,Q4,All,Elementary_occupations,59.812966294852075
2023,Q1,All,Elementary_occupations,58.69756438746607
2023,Q2,All,Elementary_occupations,58.00751243222552
2023,Q3,All,Elementary_occupations,56.29549511678326
2023,Q4,All,Elementary_occupations,55.4101554007451
2024,Q1,All,Elementary_occupations,56.717357838161696
2024,Q2,All,Elementary_occupations,51.505970086104604
2024,Q3,All,Elementary_occupations,50.53161891649778
2024,Q4,All,Elementary_occupations,52.3698158692457
2025,Q1,All,Elementary_occupations,53.77704820244323
2025,Q2,All,Elementary_occupations,49.08171165720054
2025,Q3,All,Elementary_occupations,49.34511199545783
2025,Q4,All,Elementary_occupations,50.77462083587986
2019,Q1,Male,Employed population aged 16+,1778662.673653942
2019,Q2,Male,Employed population aged 16+,1841887.9596653879
2019,Q3,Male,Employed population aged 16+,1792066.6859785167
2019,Q4,Male,Employed population aged 16+,1898636.1830799992
2020,Q1,Male,Employed population aged 16+,1945486.6441105506
2020,Q2,Male,Employed population aged 16+,1808329.9189567566
2020,Q3,Male,Employed population aged 16+,2113800.9512634277
2020,Q4,Male,Employed population aged 16+,1885454.2991530155
2021,Q1,Male,Employed population aged 16+,1748038.1011924744
2021,Q2,Male,Employed population aged 16+,1776461.1348571777
2021,Q3,Male,Employed population aged 16+,1813058.2206611633
2021,Q4,Male,Employed population aged 16+,2002299.1304745674
2022,Q1,Male,Employed population aged 16+,1949118.9244995117
2022,Q2,Male,Employed population aged 16+,1875695.9197235107
2022,Q3,Male,Employed population aged 16+,2095381.0767530869
2022,Q4,Male,Employed population aged 16+,1990619.8827268204
2023,Q1,Male,Employed population aged 16+,2059803.1013069153
2023,Q2,Male,Employed population aged 16+,2175512.2425308228
2023,Q3,Male,Employed population aged 16+,2248639.8181419373
2023,Q4,Male,Employed population aged 16+,2222880.141635895
2024,Q1,Male,Employed population aged 16+,2346249.8633270264
2024,Q2,Male,Employed population aged 16+,2347795.0636138916
2024,Q3,Male,Employed population aged 16+,2519344.8046875
2024,Q4,Male,Employed population aged 16+,2489254.5567474365
2025,Q1,Male,Employed population aged 16+,2502420.954284668
2025,Q2,Male,Employed population aged 16+,2470663.182373047
2025,Q3,Male,Employed population aged 16+,2666343.2031784058
2025,Q4,Male,Employed population aged 16+,2588345.9426498413
2019,Q1,Male,Total,100.0
2019,Q2,Male,Total,100.0
2019,Q3,Male,Total,100.0
2019,Q4,Male,Total,100.0
2020,Q1,Male,Total,100.0
2020,Q3,Male,Total,100.0
2020,Q4,Male,Total,100.0
2021,Q1,Male,Total,100.0
2021,Q2,Male,Total,100.0
2021,Q3,Male,Total,100.0
2021,Q4,Male,Total,100.0
2022,Q1,Male,Total,100.0
2022,Q2,Male,Total,100.0
2022,Q3,Male,Total,100.0
2022,Q4,Male,Total,100.0
2023,Q1,Male,Total,100.0
2023,Q2,Male,Total,100.0
2023,Q3,Male,Total,100.0
2023,Q4,Male,Total,100.0
2024,Q1,Male,Total,100.0
2024,Q2,Male,Total,100.0
2024,Q3,Male,Total,100.0
2024,Q4,Male,Total,100.0
2025,Q1,Male,Total,100.0
2025,Q2,Male,Total,100.0
2025,Q3,Male,Total,100.0
2025,Q4,Male,Total,100.0
2019,Q1,Male,Managers,1.5917449803804804
2019,Q2,Male,Managers,1.618707475424382
2019,Q3,Male,Managers,1.7483278253062093
2019,Q4,Male,Managers,1.838493523460318
2020,Q1,Male,Managers,2.008269806923856
2020,Q3,Male,Managers,1.3405866751968734
2020,Q4,Male,Managers,1.9467837600990336
2021,Q1,Male,Managers,1.354486447538809
2021,Q2,Male,Managers,1.3986001925072358
2021,Q3,Male,Managers,1.246465782072275
2021,Q4,Male,Managers,0.8987110136853034
2022,Q1,Male,Managers,1.7434695254850696
2022,Q2,Male,Managers,1.2219848459119023
2022,Q3,Male,Managers,1.3282133189136573
2022,Q4,Male,Managers,1.5384163189054942
2023,Q1,Male,Managers,1.1459858984929525
2023,Q2,Male,Managers,0.8573176351407745
2023,Q3,Male,Managers,0.9367953010109632
2023,Q4,Male,Managers,1.568551459376712
2024,Q1,Male,Managers,1.734514014062357
2024,Q2,Male,Managers,1.359452448186597
2024,Q3,Male,Managers,1.289184041213042
2024,Q4,Male,Managers,1.2297581759530223
2025,Q1,Male,Managers,1.1698152649401965
2025,Q2,Male,Managers,1.4659198302187573
2025,Q3,Male,Managers,1.3759692185659618
2025,Q4,Male,Managers,1.531360852920905
2019,Q1,Male,Professionals,5.623293391905096
2019,Q2,Male,Professionals,6.503789241868649
2019,Q3,Male,Professionals,6.255038386609357
2019,Q4,Male,Professionals,6.274909277602236
2020,Q1,Male,Professionals,6.465793232647128
2020,Q3,Male,Professionals,5.291009172050353
2020,Q4,Male,Professionals,6.024643093233693
2021,Q1,Male,Professionals,5.8424954273859235
2021,Q2,Male,Professionals,7.359878955951246
2021,Q3,Male,Professionals,5.704312192205845
2021,Q4,Male,Professionals,7.007965403042794
2022,Q1,Male,Professionals,6.297300274151042
2022,Q2,Male,Professionals,7.62384833099942
2022,Q3,Male,Professionals,6.082117962479991
2022,Q4,Male,Professionals,6.721336766377899
2023,Q1,Male,Professionals,5.674834621005854
2023,Q2,Male,Professionals,5.476686143777889
2023,Q3,Male,Professionals,7.084557533132026
2023,Q4,Male,Professionals,7.581248007463605
2024,Q1,Male,Professionals,6.381724172348345
2024,Q2,Male,Professionals,6.258382682404752
2024,Q3,Male,Professionals,6.2126787510667265
2024,Q4,Male,Professionals,6.4436566820112215
2025,Q1,Male,Professionals,5.994426610791241
2025,Q2,Male,Professionals,5.732222929380669
2025,Q3,Male,Professionals,5.9105770118837535
2025,Q4,Male,Professionals,6.229169197673732
2019,Q1,Male,Technicians_and_associate_professionals,1.9474448708055863
2019,Q2,Male,Technicians_and_associate_professionals,1.3887963401805896
2019,Q3,Male,Technicians_and_associate_professionals,1.8553387570853317
2019,Q4,Male,Technicians_and_associate_professionals,1.9613263157974348
2020,Q1,Male,Technicians_and_associate_professionals,2.034241379234357
2020,Q3,Male,Technicians_and_associate_professionals,1.7850561097106155
2020,Q4,Male,Technicians_and_associate_professionals,1.7356302608183334
2021,Q1,Male,Technicians_and_associate_professionals,1.181676420995439
2021,Q2,Male,Technicians_and_associate_professionals,1.6680275749408235
2021,Q3,Male,Technicians_and_associate_professionals,1.6498264273272656
2021,Q4,Male,Technicians_and_associate_professionals,1.99350685600433
2022,Q1,Male,Technicians_and_associate_professionals,1.0293941841931804
2022,Q2,Male,Technicians_and_associate_professionals,1.639994052022088
2022,Q3,Male,Technicians_and_associate_professionals,1.4902399089141065
2022,Q4,Male,Technicians_and_associate_professionals,1.3895346214751412
2023,Q1,Male,Technicians_and_associate_professionals,1.0223267576063968
2023,Q2,Male,Technicians_and_associate_professionals,1.2221078292401488
2023,Q3,Male,Technicians_and_associate_professionals,0.893875167626194
2023,Q4,Male,Technicians_and_associate_professionals,1.385958654718937
2024,Q1,Male,Technicians_and_associate_professionals,1.8815994713288018
2024,Q2,Male,Technicians_and_associate_professionals,1.7117783054157893
2024,Q3,Male,Technicians_and_associate_professionals,1.923162425453592
2024,Q4,Male,Technicians_and_associate_professionals,2.198721644143773
2025,Q1,Male,Technicians_and_associate_professionals,2.43507087270057
2025,Q2,Male,Technicians_and_associate_professionals,2.1940459548555777
2025,Q3,Male,Technicians_and_associate_professionals,2.3739393365509605
2025,Q4,Male,Technicians_and_associate_professionals,2.3498790820697493
2019,Q1,Male,Clerical_support_workers,0.7676487374569958
2019,Q2,Male,Clerical_support_workers,0.9316611669358099
2019,Q3,Male,Clerical_support_workers,0.5982458303672116
2019,Q4,Male,Clerical_support_workers,0.660638868666893
2020,Q1,Male,Clerical_support_workers,0.7569336448032138
2020,Q3,Male,Clerical_support_workers,0.8574365017648914
2020,Q4,Male,Clerical_support_workers,0.7057833969233763
2021,Q1,Male,Clerical_support_workers,0.5788438574577754
2021,Q2,Male,Clerical_support_workers,1.0326190011077774
2021,Q3,Male,Clerical_support_workers,0.6621209465562887
2021,Q4,Male,Clerical_support_workers,0.9618283388623217
2022,Q1,Male,Clerical_support_workers,0.5121197930757918
2022,Q2,Male,Clerical_support_workers,0.7705342967102471
2022,Q3,Male,Clerical_support_workers,0.7045351884520525
2022,Q4,Male,Clerical_support_workers,0.5425611001806068
2023,Q1,Male,Clerical_support_workers,0.6262488032588551
2023,Q2,Male,Clerical_support_workers,0.9047872205543462
2023,Q3,Male,Clerical_support_workers,0.49381588257830694
2023,Q4,Male,Clerical_support_workers,0.736556357517102
2024,Q1,Male,Clerical_support_workers,0.7607874765248671
2024,Q2,Male,Clerical_support_workers,0.9319596121962844
2024,Q3,Male,Clerical_support_workers,0.6976821287197733
2024,Q4,Male,Clerical_support_workers,0.8217728284428124
2025,Q1,Male,Clerical_support_workers,0.8852627588602817
2025,Q2,Male,Clerical_support_workers,0.6953763103548671
2025,Q3,Male,Clerical_support_workers,0.7828959224034704
2025,Q4,Male,Clerical_support_workers,0.9576076401986603
2019,Q1,Male,Service_and_sales_workers,16.984393710796525
2019,Q2,Male,Service_and_sales_workers,17.588392658734893
2019,Q3,Male,Service_and_sales_workers,17.02145736986128
2019,Q4,Male,Service_and_sales_workers,19.11911795292614
2020,Q1,Male,Service_and_sales_workers,16.002684720314626
2020,Q3,Male,Service_and_sales_workers,16.511533828772585
2020,Q4,Male,Service_and_sales_workers,13.150112945478401
2021,Q1,Male,Service_and_sales_workers,13.172811107015361
2021,Q2,Male,Service_and_sales_workers,11.64655788711828
2021,Q3,Male,Service_and_sales_workers,12.115324054971673
2021,Q4,Male,Service_and_sales_workers,11.385001063235372
2022,Q1,Male,Service_and_sales_workers,12.329066185675677
2022,Q2,Male,Service_and_sales_workers,11.799204524120286
2022,Q3,Male,Service_and_sales_workers,10.425832918710642
2022,Q4,Male,Service_and_sales_workers,12.207951992418845
2023,Q1,Male,Service_and_sales_workers,15.737569784011788
2023,Q2,Male,Service_and_sales_workers,14.926841272568039
2023,Q3,Male,Service_and_sales_workers,14.431411111523898
2023,Q4,Male,Service_and_sales_workers,14.45624534516266
2024,Q1,Male,Service_and_sales_workers,13.769840441917038
2024,Q2,Male,Service_and_sales_workers,15.808669476426449
2024,Q3,Male,Service_and_sales_workers,14.77500764986357
2024,Q4,Male,Service_and_sales_workers,15.65833229699578
2025,Q1,Male,Service_and_sales_workers,15.725532557075045
2025,Q2,Male,Service_and_sales_workers,17.10933917598181
2025,Q3,Male,Service_and_sales_workers,15.97807366215777
2025,Q4,Male,Service_and_sales_workers,16.716174641835675
2019,Q1,Male,"Skilled_agricultural,_forestry_and_fishery workers",7.33218669307535
2019,Q2,Male,"Skilled_agricultural,_forestry_and_fishery workers",6.738495431383843
2019,Q3,Male,"Skilled_agricultural,_forestry_and_fishery workers",6.335850371012441
2019,Q4,Male,"Skilled_agricultural,_forestry_and_fishery workers",5.736756734684574
2020,Q1,Male,"Skilled_agricultural,_forestry_and_fishery workers",7.865833133883998
2020,Q3,Male,"Skilled_agricultural,_forestry_and_fishery workers",7.099815491248915
2020,Q4,Male,"Skilled_agricultural,_forestry_and_fishery workers",4.457852432050848
2021,Q1,Male,"Skilled_agricultural,_forestry_and_fishery workers",3.759926445169745
2021,Q2,Male,"Skilled_agricultural,_forestry_and_fishery workers",3.7308959649642905
2021,Q3,Male,"Skilled_agricultural,_forestry_and_fishery workers",6.280163367828454
2021,Q4,Male,"Skilled_agricultural,_forestry_and_fishery workers",3.693343020104821
2022,Q1,Male,"Skilled_agricultural,_forestry_and_fishery workers",4.449168950541224
2022,Q2,Male,"Skilled_agricultural,_forestry_and_fishery workers",4.504738532783758
2022,Q3,Male,"Skilled_agricultural,_forestry_and_fishery workers",6.621696585495555
2022,Q4,Male,"Skilled_agricultural,_forestry_and_fishery workers",4.618498025928616
